가수코드,가수이름,활동유형,가수이미지,데뷔연도,주요장르
,포르테 디 콰트로,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/27/087/1627087_20220617122333_500.jpg,2017,"클래식
발라드"
,릴러말즈,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/67/229/967229_20210805170241_500.jpg,2017,"힙합
RnB
클래식"
,비비,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/03/002/2403002_20220927114113_500.jpg,2018,"힙합
팝
RnB"
,이무진,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/38/620/2138620_20220617111739_500.jpg,2018,"발라드
락"
,쿠기,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/11/694/2111694_20220627153803_500.jpg,2018,"힙합
인디"
,다운,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/02/482/2402482_20210414151735_500.jpg,2018,"RnB
인디"
,애쉬 아일랜드,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/12/495/2112495_20210308175623_500.jpg,2018,힙합
,포레스텔라,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/11/354/2111354_20220527152336_500.jpg,2018,"클래식
발라드"
,정동원,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/49/421/2749421_20221201134335_500.jpg,2018,"트로트
발라드"
,언에듀케이티드 키드,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/07/637/2007637_20200219173439_500.jpg,2018,힙합
,스키니 브라운,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/022/98/855/2298855_20210511164025_500.jpg,2018,"힙합
RnB"
,재하,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/62/839/2862839_20210708135229_500.jpg,2018,"힙합
인디"
,흰,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/29/685/1229685_20221123142803_500.jpg,2018,"발라드
락"
,김동현,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/70/210/2970210_20220520171829_500.jpg,2019,팝
,씨아이엑스,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/38/871/2738871_20220822114720_500.jpg,2019,"RnB
발라드"
,호미들,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/54/623/2754623_20201214142344_500.jpg,2019,"힙합
인디"
,래원,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/22/202/2622202_20220818132832_500.jpg,2019,"힙합
락"
,99'네스티키즈,duo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/45/158/2745158_20210810093606_500.jpg,2019,"힙합
인디"
,태비,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/45/491/2645491_20220627164051_500.jpg,2019,"인디
힙합
RnB"
,빅나티,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/44/750/2744750_20220930100441_500.jpg,2019,"힙합
RnB"
,터치드,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/05/108/2905108_20201201155113_500.jpg,2020,"인디
락"
,조연호,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/025/58/582/2558582_20220211180732_500.jpg,2020,"팝
발라드
락"
,비오,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/58/756/2758756_20220929141455_500.jpg,2020,"힙합
RnB"
,2F,duo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/85/077/2885077_20211126181924_500.jpg,2020,"발라드
트로트"
,김영흠,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/55/008/2755008_20220211180838_500.jpg,2021,"팝
포크"
,시가렛 애프터 섹스,group,https://w.namu.la/s/b4ef9022cc35c7a35c68dca50d458fb529ffc46930a87a873edf5eebe4b10b401e6b71cc6545879242e5b5fa786907d52b94816e007387696f84c20f7e1451f69cba3f9fbd71a6a252962ea3ed0bdaecc35fe534f609b11a692d8bd191790480cd37159a68e8c40998a395d42f1ffed7,2008,팝
,론 브랜튼,solo,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/08/01/0400040801_4714_02.gif,2002,재즈
,이선지,solo,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/17/04/0400041704_41151_02545.gif,2008,재즈
,디어클라우드,group,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/07/01/0400040701_1487_011012.gif,2007,인디
,디에이드,duo,https://w.namu.la/s/62aaa548eaaf064cb28db85d36c061642dce300f86d53d5eb169a46d2f677fc480c8e23fdd0829b0873dbf20a4dc6ab5bae3413cda30ceeeb97db859d428bcb56a41a60018eee479fa1185a8a5409dfeae6ec5bef9e8b9c21951e87958d51be3524cf662cc498b3e5041752f44c977cb,2010,인디
